Date,Open,High,Low,Close,Volume
2020-09-22,3033.835,3133.99,3000.2,3128.99,6948816
2020-09-21,2906.5,2962.0,2871.0,2960.47,6117925
2020-09-18,3031.74,3037.8,2905.54,2954.91,8892580
2020-09-17,3009.25,3029.4320000000002,2972.55,3008.73,6449050
2020-09-16,3179.99,3187.238,3074.15,3078.1,4531189
2020-09-15,3136.16,3175.02,3108.92,3156.13,4021535
2020-09-14,3172.9372,3187.39,3096.0,3102.97,4529596
2020-09-11,3208.69,3217.3409,3083.98,3116.22,5093982
2020-09-10,3307.2188,3349.89,3170.55,3175.11,5330741
2020-09-09,3202.99,3303.175,3185.0,3268.61,5188675
2020-09-08,3144.0,3250.845,3130.0,3149.84,6094205
2020-09-04,3318.0,3381.5,3111.13,3294.62,8781754
2020-09-03,3485.0,3488.41,3303.0,3368.0,8161113
2020-09-02,3547.0,3552.25,3486.685,3531.45,3931476
2020-09-01,3489.58,3513.87,3467.0,3499.12,3476407
2020-08-31,3408.99,3495.0,3405.0,3450.96,4185885
2020-08-28,3423.0,3433.3699,3386.5,3401.8,2896978
2020-08-27,3450.05,3453.0,3378.0,3400.0,4264795
2020-08-26,3351.11,3451.7387,3344.5675,3441.85,6508743
2020-08-25,3294.99,3357.4,3267.0,3346.49,3992842
